image_id,first_compo,others,undecidable
1500532008275.jpg,4.0,"3,14,9",False
1500532016151.jpg,6.0,11,False
1500532019835.jpg,9.0,7,False
1500532024309.jpg,14.0,"4,7",False
1500532025217.jpg,12.0,"11,15,7",False
1500532028151.jpg,,,True
1500532030900.jpg,4.0,"11,7",False
1500532031751.jpg,,,True
1500532033432.jpg,3.0,12,False
1500532053652.jpg,1.0,15,False
1500532054272.jpg,9.0,11,False
1500532056644.jpg,2.0,"11,12,9",False
1500532058235.jpg,,,True
1500532061412.jpg,3.0,"4,11,9",False
1500532064737.jpg,3.0,"11,9",False
1500532065439.jpg,8.0,3,False
1500532068455.jpg,3.0,"4,9",False
1500532070637.jpg,3.0,"4,9",False
1500532072468.jpg,6.0,"4,7,9",False
1500532075447.jpg,1.0,"4,11",False
1500532080877.jpg,13.0,9,False
1500532084063.jpg,13.0,"14,9",False
1500532085690.jpg,4.0,"7,9",False
1500532087476.jpg,4.0,"7,9",False
1500532088128.jpg,4.0,"7,9",False
1500532092179.jpg,5.0,"1,15,9",False
1500532095873.jpg,,,True
1500532098142.jpg,1.0,"4,9",False
1500532099699.jpg,1.0,11,False
1500532104862.jpg,6.0,"4,15",False
1500532106352.jpg,6.0,"3,4,9",False
1500532107888.jpg,1.0,"4,7",False
1500532114390.jpg,,,True
1500532121691.jpg,6.0,"15,8",False
1500532124752.jpg,1.0,"4,15,8",False
1500532126346.jpg,1.0,"4,15",False
1500532127947.jpg,3.0,"4,14,15",False
1500532132534.jpg,,,True
1500532135100.jpg,3.0,"1,5,15",False
1500532136097.jpg,,,True
1500532136754.jpg,,,True
1500532137349.jpg,1.0,"2,4",False
1500532139056.jpg,1.0,"4,8",False
1500532139664.jpg,3.0,"7,8",False
1500532142162.jpg,3.0,"5,15",False
1500532143623.jpg,1.0,5,False
1500532144884.jpg,3.0,"4,15,8",False
1500532145823.jpg,1.0,"4,15",False
1500532146801.jpg,1.0,"5,15",False
1500532148366.jpg,2.0,7,False
1500532150497.jpg,3.0,"2,15",False
1500532151443.jpg,,,True
1500532152348.jpg,6.0,7,False
1500532153856.jpg,5.0,"3,4",False
1500532155294.jpg,1.0,9,False
1500532155929.jpg,3.0,"15,8",False
1500532157390.jpg,3.0,"5,8",False
1500532158847.jpg,4.0,13,False
1500532159742.jpg,13.0,"1,15,6",False
1500532160428.jpg,1.0,12,False
1500532161892.jpg,6.0,"14,15",False
1500532163425.jpg,1.0,"5,8",False
1500532167075.jpg,3.0,"13,8",False
1500532172901.jpg,1.0,8,False
1500532174598.jpg,7.0,9,False
1500532175231.jpg,3.0,"12,15",False
1500532175932.jpg,3.0,9,False
1500532179103.jpg,3.0,7,False
1500532181609.jpg,3.0,12,False
1500532185031.jpg,1.0,"4,7",False
1500532185828.jpg,1.0,9,False
1500532187704.jpg,3.0,"4,7",False
1500532189222.jpg,3.0,"4,9",False
1500532192391.jpg,3.0,"5,11,13",False
1500532193946.jpg,3.0,"4,11,13,15",False
1500532195489.jpg,11.0,6,False
1500532198742.jpg,3.0,7,False
1500532200562.jpg,1.0,"5,8",False
1500532202107.jpg,,,True
1500532203685.jpg,3.0,"13,8",False
1500532205222.jpg,,,True
1500532208932.jpg,1.0,"4,5,15",False
1500532211300.jpg,1.0,"4,13,15",False
1500532211979.jpg,1.0,"12,9",False
1500532212648.jpg,3.0,"5,11",False
1500532214156.jpg,1.0,9,False
1500532214833.jpg,7.0,"4,9",False
1500532216147.jpg,8.0,"4,9",False
1500532218056.jpg,1.0,4,False
1500532219649.jpg,2.0,"8,9",False
1500532225020.jpg,2.0,"1,9",False
1500532225712.jpg,6.0,14,False
1500532230416.jpg,8.0,"5,9",False
1500532231839.jpg,3.0,"6,8",False
1500532233181.jpg,3.0,2,False
1500532234719.jpg,3.0,"4,7",False
1500532235417.jpg,7.0,"5,12",False
1500532236878.jpg,4.0,"7,8",False
1500532237521.jpg,3.0,"1,4,15",False
1500532239665.jpg,11.0,"2,6,7",False
1500532241125.jpg,3.0,6,False
1500532242504.jpg,11.0,"3,4,7",False
1500532243236.jpg,1.0,"4,9",False
1500532245376.jpg,3.0,"4,7",False
1500532245959.jpg,6.0,9,False
1500532247762.jpg,2.0,9,False
1500532248417.jpg,1.0,5,False
1500532249883.jpg,6.0,12,False
1500532250604.jpg,,,True
1500532252082.jpg,3.0,5,False
1500532252685.jpg,1.0,"4,15",False
1500532258422.jpg,3.0,"5,7",False
1500532261021.jpg,6.0,"4,11",False
1500532262044.jpg,3.0,"5,10",False
1500532263692.jpg,1.0,"4,5,8",False
1500532265360.jpg,3.0,"4,7",False
1500532268217.jpg,3.0,13,False
1500532270648.jpg,3.0,"1,4,5",False
1500532272423.jpg,13.0,"4,6",False
1500532274612.jpg,8.0,5,False
