image_id,first_compo,others,undecidable
332285.jpg,5.0,"6,10",False
45161.jpg,11.0,"5,8",False
83925.jpg,3.0,"5,6",False
546561.jpg,13.0,"7,8",False
662397.jpg,5.0,"4,11,13,6",False
259858.jpg,5.0,11,False
693674.jpg,10.0,"6,8",False
231877.jpg,3.0,5,False
606763.jpg,13.0,"12,6",False
34301.jpg,2.0,"5,9",False
829525.jpg,4.0,8,False
229460.jpg,6.0,"2,5,8",False
767867.jpg,5.0,"4,13",False
170428.jpg,9.0,,False
697070.jpg,10.0,"6,8",False
924695.jpg,5.0,,False
848667.jpg,4.0,"5,8",False
674940.jpg,5.0,6,False
146423.jpg,1.0,5,False
282444.jpg,4.0,"5,13,8",False
909651.jpg,1.0,"4,5,8",False
947128.jpg,5.0,"11,12",False
625339.jpg,5.0,"6,9",False
589381.jpg,4.0,"3,5,8",False
829917.jpg,14.0,"4,5",False
794792.jpg,7.0,8,False
132174.jpg,8.0,3,False
570696.jpg,5.0,"11,6",False
226972.jpg,,,True
188667.jpg,1.0,6,False
66786.jpg,6.0,,False
594085.jpg,14.0,"7,9",False
955346.jpg,13.0,"11,15",False
847031.jpg,10.0,"3,8,9",False
850922.jpg,4.0,"15,7,9",False
897299.jpg,8.0,11,False
185493.jpg,1.0,"4,8",False
253351.jpg,5.0,"1,8",False
569398.jpg,10.0,11,False
315858.jpg,5.0,11,False
366155.jpg,5.0,8,False
70354.jpg,14.0,"15,8",False
41278.jpg,15.0,6,False
848350.jpg,13.0,"5,14",False
227030.jpg,12.0,"5,9",False
913799.jpg,15.0,"5,6",False
244525.jpg,15.0,"5,11",False
593196.jpg,,,True
349598.jpg,14.0,"3,4,5,7",False
167971.jpg,1.0,"3,6,8",False
945924.jpg,10.0,"13,8",False
37031.jpg,6.0,7,False
388812.jpg,4.0,5,False
107693.jpg,8.0,"5,10",False
743266.jpg,5.0,6,False
745853.jpg,3.0,11,False
348569.jpg,1.0,"13,8",False
759103.jpg,11.0,,False
872884.jpg,1.0,8,False
955667.jpg,10.0,,False
693698.jpg,3.0,6,False
899787.jpg,13.0,"7,9",False
164213.jpg,6.0,"3,4,15",False
881621.jpg,6.0,8,False
551207.jpg,7.0,,False
632845.jpg,6.0,"1,8",False
100514.jpg,14.0,"3,5",False
627455.jpg,3.0,"5,8",False
913214.jpg,5.0,10,False
891130.jpg,9.0,5,False
278391.jpg,5.0,"4,8,10",False
228158.jpg,5.0,2,False
919968.jpg,6.0,5,False
802892.jpg,8.0,"5,10",False
89254.jpg,13.0,12,False
932670.jpg,9.0,"3,6",False
694862.jpg,12.0,7,False
697000.jpg,5.0,13,False
521502.jpg,3.0,"6,8",False
821060.jpg,4.0,5,False
886234.jpg,13.0,"2,5",False
653008.jpg,6.0,2,False
807452.jpg,8.0,1,False
674539.jpg,1.0,"2,5,6",False
593762.jpg,8.0,"3,12,10",False
860000.jpg,1.0,8,False
115446.jpg,10.0,13,False
547351.jpg,10.0,8,False
941730.jpg,13.0,"1,4",False
55629.jpg,5.0,"1,13,8,10",False
239172.jpg,4.0,14,False
666574.jpg,8.0,"3,9",False
690980.jpg,3.0,9,False
521889.jpg,7.0,12,False
593855.jpg,10.0,"1,12",False
545475.jpg,3.0,12,False
828210.jpg,6.0,,False
19668.jpg,,,True
635834.jpg,5.0,"4,9",False
807166.jpg,15.0,"5,6,8",False
837794.jpg,5.0,"1,11,14,8",False
24905.jpg,3.0,6,False
150970.jpg,12.0,,False
570328.jpg,3.0,7,False
830388.jpg,2.0,6,False
546138.jpg,8.0,11,False
803575.jpg,4.0,8,False
365909.jpg,6.0,"3,8",False
302996.jpg,6.0,11,False
401607.jpg,5.0,10,False
799430.jpg,6.0,5,False
663023.jpg,11.0,8,False
163533.jpg,8.0,1,False
402815.jpg,9.0,5,False
827784.jpg,7.0,"5,8",False
238755.jpg,13.0,"5,8",False
93604.jpg,5.0,6,False
93829.jpg,15.0,11,False
323886.jpg,5.0,6,False
621051.jpg,5.0,13,False
807319.jpg,3.0,14,False
786644.jpg,7.0,4,False
83705.jpg,11.0,,False
911977.jpg,5.0,"7,8",False
621719.jpg,11.0,6,False
419383.jpg,5.0,6,False
768591.jpg,5.0,11,False
873987.jpg,11.0,"5,6",False
846327.jpg,1.0,"11,15",False
627983.jpg,5.0,"6,10",False
155775.jpg,8.0,,False
638042.jpg,12.0,5,False
245003.jpg,5.0,"2,6",False
145869.jpg,10.0,"1,8",False
759656.jpg,6.0,5,False
660628.jpg,5.0,"12,8",False
909199.jpg,5.0,8,False
353446.jpg,4.0,,False
571333.jpg,9.0,,False
308953.jpg,5.0,"2,4",False
605740.jpg,10.0,,False
580456.jpg,,,True
243557.jpg,5.0,5,False
391472.jpg,6.0,"11,8",False
393793.jpg,3.0,"4,6",False
770335.jpg,1.0,,False
837855.jpg,5.0,8,False
607188.jpg,9.0,"4,14,8",False
929509.jpg,10.0,,False
611760.jpg,,,True
243465.jpg,8.0,"5,9",False
13978.jpg,7.0,"3,8,9",False
131428.jpg,5.0,"1,15,8",False
873743.jpg,5.0,"4,6",False
762411.jpg,7.0,8,False
196251.jpg,5.0,"8,10",False
60640.jpg,11.0,7,False
571772.jpg,5.0,7,False
135339.jpg,5.0,"13,14",False
256360.jpg,,,True
130845.jpg,1.0,"15,6",False
695516.jpg,5.0,8,False
664956.jpg,10.0,8,False
770783.jpg,7.0,"4,8",False
945724.jpg,6.0,2,False
521697.jpg,7.0,"3,11",False
34241.jpg,11.0,"6,8",False
84286.jpg,5.0,13,False
691813.jpg,11.0,2,False
41165.jpg,9.0,,False
881442.jpg,3.0,1,False
753074.jpg,11.0,7,False
647013.jpg,9.0,8,False
938993.jpg,13.0,11,False
372016.jpg,8.0,2,False
753216.jpg,5.0,"11,8",False
818665.jpg,5.0,9,False
419474.jpg,5.0,9,False
758414.jpg,1.0,5,False
330306.jpg,3.0,2,False
418434.jpg,5.0,8,False
605630.jpg,4.0,9,False
167185.jpg,5.0,"13,9",False
753913.jpg,5.0,"4,11,15",False
397810.jpg,6.0,,False
588276.jpg,11.0,"15,7",False
911504.jpg,5.0,13,False
281490.jpg,6.0,"7,9",False
846332.jpg,6.0,,False
894689.jpg,2.0,"5,6,9",False
90716.jpg,4.0,"1,8",False
632574.jpg,5.0,4,False
73301.jpg,8.0,,False
921917.jpg,7.0,5,False
102653.jpg,3.0,5,False
915547.jpg,8.0,5,False
570421.jpg,13.0,"5,6",False
636694.jpg,4.0,,False
160007.jpg,3.0,"5,6,8",False
872348.jpg,10.0,12,False
797629.jpg,2.0,"12,14,9",False
696616.jpg,6.0,"8,10",False
109470.jpg,7.0,10,False
567802.jpg,10.0,,False
525132.jpg,7.0,"2,5",False
347273.jpg,7.0,"1,9",False
766621.jpg,6.0,"8,9",False
908870.jpg,1.0,"5,7",False
101511.jpg,1.0,9,False
229678.jpg,4.0,9,False
605264.jpg,1.0,,False
696509.jpg,13.0,5,False
579266.jpg,5.0,"4,11",False
254606.jpg,,,True
938016.jpg,11.0,13,False
280780.jpg,9.0,5,False
391025.jpg,5.0,9,False
242946.jpg,4.0,"5,10",False
563536.jpg,5.0,6,False
563300.jpg,4.0,,False
603031.jpg,11.0,"3,5",False
588213.jpg,13.0,3,False
152625.jpg,14.0,8,False
172429.jpg,8.0,"3,15",False
934137.jpg,8.0,10,False
944280.jpg,8.0,"5,7",False
791760.jpg,,,True
540567.jpg,11.0,13,False
864980.jpg,1.0,8,False
639495.jpg,8.0,"6,9",False
253803.jpg,1.0,10,False
55424.jpg,8.0,"4,12",False
50611.jpg,4.0,"8,9",False
830596.jpg,8.0,13,False
66692.jpg,6.0,"12,9",False
770406.jpg,5.0,"1,9",False
627505.jpg,4.0,15,False
691871.jpg,13.0,15,False
852735.jpg,3.0,"5,6",False
81670.jpg,7.0,11,False
15131.jpg,13.0,2,False
332200.jpg,12.0,"8,10",False
624983.jpg,4.0,5,False
65884.jpg,2.0,"5,7",False
357136.jpg,8.0,"1,14",False
83509.jpg,7.0,7,False
132541.jpg,8.0,10,False
236170.jpg,8.0,4,False
803237.jpg,10.0,11,False
801176.jpg,8.0,4,False
758077.jpg,1.0,"13,15,8",False
893845.jpg,6.0,"11,14",False
524520.jpg,5.0,"4,9",False
280620.jpg,5.0,"1,9,10",False
926361.jpg,7.0,"8,9",False
869993.jpg,13.0,8,False
954976.jpg,9.0,"5,11",False
84702.jpg,7.0,,False
386804.jpg,14.0,"2,5",False
13603.jpg,5.0,"1,11,9",False
915457.jpg,8.0,5,False
659963.jpg,7.0,,False
234020.jpg,11.0,,False
277879.jpg,15.0,"3,5",False
70486.jpg,3.0,13,False
758263.jpg,13.0,5,False
359091.jpg,15.0,"13,6",False
314701.jpg,8.0,5,False
203485.jpg,8.0,,False
80529.jpg,,,True
633805.jpg,6.0,11,False
616961.jpg,9.0,7,False
521486.jpg,13.0,,False
943988.jpg,5.0,9,False
873806.jpg,5.0,,False
244927.jpg,4.0,8,False
612549.jpg,4.0,15,False
232915.jpg,4.0,5,False
376086.jpg,6.0,,False
652321.jpg,15.0,,False
676449.jpg,1.0,,False
86085.jpg,5.0,4,False
579889.jpg,6.0,"3,11",False
696863.jpg,5.0,9,False
887458.jpg,9.0,"4,11",False
84565.jpg,6.0,"15,8",False
752627.jpg,4.0,"7,8",False
350581.jpg,15.0,"8,10",False
616722.jpg,6.0,"3,5,15",False
928255.jpg,6.0,5,False
387278.jpg,5.0,3,False
18976.jpg,13.0,5,False
914799.jpg,9.0,5,False
86596.jpg,13.0,"3,8",False
