image_id,first_compo,others,undecidable
100514.jpg,3.0,"11,14",False
100542.jpg,11.0,7,False
100664.jpg,1.0,8,False
100693.jpg,9.0,8,False
101044.jpg,7.0,1,False
101047.jpg,1.0,8,False
101196.jpg,12.0,"2,11",False
101375.jpg,1.0,11,False
101511.jpg,1.0,9,False
101513.jpg,1.0,8,False
101573.jpg,1.0,2,False
101641.jpg,,,True
101643.jpg,1.0,6,False
101700.jpg,1.0,"11,6",False
101741.jpg,12.0,1,False
101775.jpg,1.0,9,False
101824.jpg,1.0,4,False
101868.jpg,,,True
101924.jpg,1.0,6,False
102653.jpg,1.0,5,False
102741.jpg,5.0,"11,8",False
102973.jpg,5.0,"2,6",False
102979.jpg,7.0,15,False
102999.jpg,8.0,"11,7",False
103073.jpg,7.0,12,False
103112.jpg,13.0,3,False
103120.jpg,6.0,7,False
103154.jpg,15.0,8,False
103207.jpg,3.0,"12,8",False
103217.jpg,2.0,"4,9",False
103240.jpg,11.0,7,False
103243.jpg,5.0,"11,8",False
103723.jpg,,,True
103928.jpg,5.0,"1,8",False
104775.jpg,,,True
104932.jpg,,,True
104940.jpg,2.0,"4,7",False
105030.jpg,,,True
105190.jpg,12.0,"4,11",False
105734.jpg,,,True
106285.jpg,9.0,8,False
106341.jpg,4.0,3,False
107693.jpg,5.0,8,False
108023.jpg,3.0,2,False
108071.jpg,,,True
108832.jpg,7.0,5,False
108992.jpg,7.0,8,False
109470.jpg,7.0,,False
109975.jpg,1.0,6,False
11040.jpg,11.0,8,False
11133.jpg,5.0,8,False
11193.jpg,,,True
112183.jpg,6.0,5,False
112339.jpg,6.0,,False
112418.jpg,11.0,7,False
113367.jpg,5.0,7,False
113369.jpg,7.0,1,False
113508.jpg,6.0,"5,11",False
113561.jpg,,,True
113565.jpg,,,True
113684.jpg,14.0,7,False
113894.jpg,,,True
114082.jpg,4.0,8,False
114302.jpg,7.0,11,False
114480.jpg,1.0,"5,8,10",False
114567.jpg,,,True
114586.jpg,1.0,"5,8,10",False
114714.jpg,4.0,11,False
114795.jpg,,,True
114806.jpg,6.0,11,False
114832.jpg,,,True
114883.jpg,11.0,"3,7",False
115063.jpg,,,True
115117.jpg,4.0,6,False
115196.jpg,,,True
115251.jpg,3.0,5,False
115263.jpg,8.0,,False
115312.jpg,5.0,8,False
115333.jpg,1.0,"2,5",False
115390.jpg,3.0,,False
115446.jpg,11.0,5,False
11546.jpg,,,True
115556.jpg,3.0,,False
115665.jpg,11.0,14,False
115705.jpg,7.0,7,False
115767.jpg,,,True
115804.jpg,6.0,8,False
115958.jpg,6.0,"11,13",False
116081.jpg,2.0,"15,8",False
116094.jpg,11.0,"3,6",False
116289.jpg,6.0,"7,8",False
116317.jpg,1.0,"5,8",False
116338.jpg,7.0,4,False
116340.jpg,,,True
116348.jpg,,,True
116549.jpg,2.0,7,False
116624.jpg,1.0,4,False
117206.jpg,,,True
117212.jpg,7.0,11,False
117223.jpg,8.0,1,False
117282.jpg,1.0,,False
117353.jpg,11.0,4,False
118049.jpg,,,True
118101.jpg,6.0,"13,8",False
118173.jpg,11.0,7,False
118623.jpg,6.0,7,False
118779.jpg,2.0,4,False
118987.jpg,5.0,"1,4",False
119341.jpg,14.0,7,False
119385.jpg,3.0,8,False
119387.jpg,3.0,"12,8",False
119487.jpg,3.0,"4,10",False
119534.jpg,8.0,,False
119564.jpg,8.0,7,False
119920.jpg,6.0,8,False
120601.jpg,6.0,"4,13",False
12093.jpg,7.0,14,False
120971.jpg,8.0,11,False
121054.jpg,6.0,"14,8",False
121071.jpg,9.0,,False
121076.jpg,7.0,12,False
121460.jpg,13.0,"2,3",False
12156.jpg,5.0,10,False
121760.jpg,8.0,5,False
121922.jpg,8.0,7,False
121939.jpg,1.0,,False
121944.jpg,,,True
122028.jpg,8.0,15,False
122151.jpg,4.0,7,False
122171.jpg,3.0,"4,8",False
122267.jpg,,,True
12248.jpg,,,True
123130.jpg,5.0,"1,8",False
12376.jpg,11.0,1,False
123892.jpg,,,True
12395.jpg,6.0,1,False
124061.jpg,,,True
124125.jpg,11.0,7,False
124753.jpg,7.0,1,False
12487.jpg,6.0,7,False
124880.jpg,,,True
124883.jpg,6.0,7,False
12489.jpg,12.0,7,False
124962.jpg,8.0,"7,9",False
125025.jpg,1.0,8,False
125111.jpg,8.0,7,False
125952.jpg,,,True
125955.jpg,13.0,8,False
125967.jpg,6.0,11,False
126039.jpg,2.0,3,False
126065.jpg,6.0,5,False
12611.jpg,,,True
126114.jpg,6.0,"7,8",False
126226.jpg,,,True
126240.jpg,,,True
126580.jpg,5.0,1,False
126916.jpg,9.0,,False
127610.jpg,6.0,11,False
127723.jpg,3.0,7,False
12774.jpg,1.0,"5,8",False
127971.jpg,2.0,"4,8",False
127974.jpg,,,True
127977.jpg,,,True
128035.jpg,8.0,5,False
128163.jpg,7.0,,False
128244.jpg,11.0,2,False
128375.jpg,8.0,7,False
128416.jpg,8.0,11,False
12850.jpg,6.0,11,False
129000.jpg,5.0,"11,6",False
12935.jpg,,,True
129482.jpg,,,True
12968.jpg,,,True
129720.jpg,4.0,,False
130154.jpg,11.0,,False
13017.jpg,3.0,8,False
130221.jpg,,,True
130579.jpg,13.0,,False
13072.jpg,3.0,5,False
130839.jpg,,,True
130845.jpg,,,True
131428.jpg,8.0,5,False
131512.jpg,8.0,,False
131962.jpg,5.0,6,False
13202.jpg,5.0,9,False
132073.jpg,2.0,6,False
132084.jpg,,,True
132174.jpg,5.0,8,False
132206.jpg,8.0,3,False
132349.jpg,2.0,9,False
132449.jpg,4.0,11,False
132463.jpg,,,True
132541.jpg,8.0,,False
132622.jpg,11.0,1,False
132680.jpg,6.0,11,False
132991.jpg,5.0,4,False
133037.jpg,2.0,"5,12",False
133081.jpg,6.0,"7,8",False
133415.jpg,7.0,14,False
133890.jpg,12.0,6,False
134077.jpg,8.0,1,False
134201.jpg,1.0,6,False
134345.jpg,7.0,,False
134626.jpg,8.0,,False
134642.jpg,,,True
134722.jpg,10.0,5,False
134782.jpg,7.0,,False
134904.jpg,6.0,,False
134951.jpg,1.0,5,False
135145.jpg,5.0,8,False
13520.jpg,4.0,"11,14",False
135263.jpg,5.0,11,False
135339.jpg,5.0,4,False
13541.jpg,2.0,"7,8",False
135519.jpg,,,True
135551.jpg,5.0,4,False
135613.jpg,,,True
13569.jpg,,,True
135927.jpg,,,True
13594.jpg,,,True
13603.jpg,1.0,11,False
136049.jpg,9.0,4,False
136162.jpg,7.0,11,False
136319.jpg,,,True
136425.jpg,7.0,,False
136450.jpg,3.0,11,False
136609.jpg,1.0,8,False
136756.jpg,6.0,5,False
136795.jpg,4.0,"5,8",False
13707.jpg,4.0,6,False
13713.jpg,13.0,9,False
13718.jpg,8.0,6,False
13750.jpg,,,True
137597.jpg,7.0,,False
137691.jpg,6.0,"5,11",False
13779.jpg,,,True
13821.jpg,8.0,10,False
13825.jpg,10.0,"1,8",False
138644.jpg,,,True
138702.jpg,7.0,6,False
138747.jpg,,,True
139357.jpg,10.0,"4,6",False
139620.jpg,8.0,5,False
13971.jpg,,,True
13978.jpg,,,True
140484.jpg,11.0,,False
140800.jpg,2.0,13,False
140921.jpg,,,True
141146.jpg,6.0,5,False
141441.jpg,11.0,7,False
141514.jpg,11.0,"1,8",False
141531.jpg,6.0,7,False
141593.jpg,6.0,11,False
141761.jpg,5.0,3,False
142104.jpg,,,True
142127.jpg,,,True
143456.jpg,,,True
144371.jpg,,,True
144425.jpg,,,True
144453.jpg,13.0,8,False
144899.jpg,10.0,7,False
145815.jpg,2.0,8,False
145869.jpg,10.0,"5,8",False
146216.jpg,,,True
14628.jpg,1.0,8,False
146423.jpg,,,True
14688.jpg,9.0,,False
146950.jpg,5.0,8,False
147204.jpg,4.0,3,False
147278.jpg,7.0,,False
147291.jpg,,,True
147299.jpg,5.0,8,False
147309.jpg,,,True
147329.jpg,11.0,7,False
147505.jpg,8.0,,False
147544.jpg,5.0,10,False
147569.jpg,,,True
147590.jpg,4.0,7,False
147610.jpg,1.0,,False
148425.jpg,9.0,4,False
148513.jpg,15.0,1,False
148615.jpg,,,True
148843.jpg,,,True
14922.jpg,,,True
150180.jpg,,,True
150508.jpg,,,True
150719.jpg,,,True
150806.jpg,,,True
150970.jpg,12.0,7,False
151042.jpg,11.0,6,False
15131.jpg,,,True
151372.jpg,,,True
151558.jpg,1.0,"5,8",False
151708.jpg,,,True
151797.jpg,,,True
152274.jpg,14.0,7,False
152292.jpg,,,True
152436.jpg,5.0,"1,8",False
152625.jpg,7.0,14,False
152702.jpg,2.0,,False
152756.jpg,7.0,,False
152783.jpg,,,True
152835.jpg,6.0,10,False
152836.jpg,5.0,"1,12",False
152894.jpg,13.0,5,False
152958.jpg,13.0,14,False
152980.jpg,13.0,8,False
153016.jpg,6.0,7,False
153022.jpg,13.0,"11,8",False
153109.jpg,2.0,"5,13",False
153138.jpg,1.0,8,False
153146.jpg,11.0,2,False
153179.jpg,11.0,5,False
153222.jpg,6.0,7,False
153261.jpg,4.0,11,False
153291.jpg,7.0,4,False
153352.jpg,11.0,5,False
153388.jpg,13.0,14,False
153427.jpg,1.0,"5,12",False
153493.jpg,4.0,"2,11",False
153932.jpg,,,True
153967.jpg,5.0,"11,6",False
